date,open,close,high,low,volume,amount,code
2011-10-27,3390.6,3385.67,3416.39,3371.28,25191100,29969000000.0,sz399303
2011-10-28,3431.43,3458.42,3458.42,3403.54,30845400,36245000000.0,sz399303
2011-10-31,3450.47,3492.63,3492.63,3448.36,27737300,35052000000.0,sz399303
2011-11-01,3450.57,3498.29,3507.8,3450.57,28005800,35237000000.0,sz399303
2011-11-02,3430.26,3564.83,3564.83,3430.26,33618400,42887000000.0,sz399303
2011-11-03,3587.08,3584.76,3628.24,3584.76,44429000,57708000000.0,sz399303
2011-11-04,3608.84,3610.52,3617.71,3577.77,34594000,44115000000.0,sz399303
2011-11-07,3595.43,3603.1,3630.34,3593.68,27783000,35178000000.0,sz399303
2011-11-08,3603.98,3560.22,3609.31,3553.67,27090400,34201000000.0,sz399303
2011-11-09,3576.85,3625.55,3625.55,3533.96,28878000,37856000000.0,sz399303
2011-11-10,3578.67,3593.43,3634.11,3578.67,32531100,44605000000.0,sz399303
2011-11-11,3601.98,3598.87,3626.51,3581.68,27475000,35614000000.0,sz399303
2011-11-14,3635.37,3684.29,3684.29,3627.37,32453600,42992000000.0,sz399303
2011-11-15,3679.49,3709.55,3709.55,3677.78,32973900,42885000000.0,sz399303
2011-11-16,3707.95,3614.78,3707.95,3601.07,33950500,43191000000.0,sz399303
2011-11-17,3623.71,3616.85,3656.77,3600.39,25715900,33312000000.0,sz399303
2011-11-18,3583.78,3512.15,3591.52,3506.23,25923400,32547000000.0,sz399303
2011-11-21,3512.61,3517.3,3517.3,3471.56,18955300,23405000000.0,sz399303
2011-11-22,3479.67,3515.49,3515.49,3459.8,18698100,23673000000.0,sz399303
2011-11-23,3525.6,3500.39,3533.02,3490.96,18857900,23897000000.0,sz399303
2011-11-24,3455.53,3493.91,3514.15,3443.79,19198300,24539000000.0,sz399303
2011-11-25,3489.25,3473.22,3515.27,3462.13,18472800,23943000000.0,sz399303
2011-11-28,3484.06,3474.91,3488.27,3448.58,17299900,22554000000.0,sz399303
2011-11-29,3509.12,3533.31,3533.31,3487.5,21185100,27408000000.0,sz399303
2011-11-30,3520.61,3377.41,3523.91,3335.11,26294100,32338000000.0,sz399303
2011-12-01,3477.77,3444.54,3498.66,3434.73,27910100,34674000000.0,sz399303
2011-12-02,3417.66,3372.6,3424.7,3352.65,20017100,24382000000.0,sz399303
2011-12-05,3357.45,3261.23,3357.45,3254.56,16445700,19850000000.0,sz399303
2011-12-06,3244.07,3265.82,3273.46,3216.36,14798900,17460000000.0,sz399303
2011-12-07,3260.99,3275.76,3289.82,3248.13,13736600,16785000000.0,sz399303
2011-12-08,3263.65,3280.3,3309.15,3216.76,17588400,21914000000.0,sz399303
2011-12-09,3247.06,3245.83,3284.23,3235.63,13793800,16854000000.0,sz399303
2011-12-12,3242.5,3201.71,3251.48,3198.92,12961700,15601000000.0,sz399303
2011-12-13,3176.73,3090.42,3179.69,3079.68,18494100,21146000000.0,sz399303
2011-12-14,3074.94,3035.89,3104.93,3027.54,14737800,17764000000.0,sz399303
2011-12-15,3006.46,2965.65,3013.58,2961.07,17546000,19597000000.0,sz399303
2011-12-16,2966.77,3052.76,3052.76,2953.45,17928800,20428000000.0,sz399303
2011-12-19,3016.47,3063.86,3064.81,2983.04,19169300,22822000000.0,sz399303
2011-12-20,3046.41,3050.54,3094.68,3046.41,19133000,21777000000.0,sz399303
2011-12-21,3082.24,2974.08,3082.24,2973.23,17312800,19925000000.0,sz399303
2011-12-22,2931.25,2918.49,2948.31,2826.7,20389900,22213000000.0,sz399303
2011-12-23,2895.74,2941.44,2968.91,2893.47,17522000,19294000000.0,sz399303
2011-12-26,2926.12,2921.22,2965.66,2919.68,14328300,15956000000.0,sz399303
2011-12-27,2906.85,2833.46,2907.17,2828.65,14979800,16215000000.0,sz399303
2011-12-28,2802.66,2807.63,2808.96,2737.5,16049500,16794000000.0,sz399303
2011-12-29,2786.08,2807.26,2823.27,2784.0,13862300,14146000000.0,sz399303
2011-12-30,2818.25,2858.41,2858.41,2818.25,15060100,15830000000.0,sz399303
2012-01-04,2884.33,2787.73,2886.69,2787.73,15909200,17814000000.0,sz399303
2012-01-05,2758.06,2661.11,2763.44,2657.47,18525700,19851000000.0,sz399303
2012-01-06,2647.67,2666.96,2667.1,2591.05,16300500,16832000000.0,sz399303
2012-01-09,2659.99,2771.99,2771.99,2638.38,22662900,23031000000.0,sz399303
2012-01-10,2765.63,2881.25,2882.55,2765.31,33450800,33912000000.0,sz399303
2012-01-11,2871.91,2892.05,2909.14,2862.18,29908900,31361000000.0,sz399303
2012-01-12,2872.77,2881.21,2919.03,2869.32,25036000,26280000000.0,sz399303
2012-01-13,2879.83,2757.61,2879.83,2744.56,25108600,26671000000.0,sz399303
2012-01-16,2732.31,2657.05,2732.57,2657.05,15858400,16489000000.0,sz399303
2012-01-17,2659.17,2793.18,2793.18,2631.73,24436900,25229000000.0,sz399303
2012-01-18,2799.81,2711.53,2816.58,2702.99,25071900,26280000000.0,sz399303
2012-01-19,2698.74,2727.7,2744.78,2677.36,19824700,21090000000.0,sz399303
2012-01-20,2736.73,2766.45,2771.53,2727.39,18528400,19373000000.0,sz399303
2012-01-30,2774.87,2761.23,2793.58,2753.15,16208000,17332000000.0,sz399303
2012-01-31,2755.65,2760.67,2763.12,2725.71,15340800,15700000000.0,sz399303
2012-02-01,2750.59,2750.18,2790.52,2741.28,16953700,18040000000.0,sz399303
2012-02-02,2758.67,2803.9,2803.9,2751.4,20138800,21576000000.0,sz399303
2012-02-03,2797.94,2856.36,2861.71,2796.64,27231400,28260000000.0,sz399303
2012-02-06,2860.97,2887.2,2890.38,2856.51,27550900,29121000000.0,sz399303
2012-02-07,2864.62,2842.03,2864.62,2822.06,23819300,25339000000.0,sz399303
2012-02-08,2835.45,2913.41,2913.41,2827.86,28264300,29857000000.0,sz399303
2012-02-09,2907.36,2937.3,2964.04,2907.36,36242100,37764000000.0,sz399303
2012-02-10,2930.51,2958.02,2968.31,2930.51,32204800,33958000000.0,sz399303
2012-02-13,2924.76,3000.47,3010.34,2924.34,35084300,38301000000.0,sz399303
2012-02-14,2995.28,3002.03,3008.04,2979.63,29854200,31170000000.0,sz399303
2012-02-15,2995.58,3055.21,3055.21,2989.82,39823700,40860000000.0,sz399303
2012-02-16,3046.89,3056.53,3078.81,3025.82,39366800,41001000000.0,sz399303
2012-02-17,3068.76,3046.91,3069.25,3015.65,31770300,33855000000.0,sz399303
2012-02-20,3080.12,3058.77,3092.55,3056.78,36785100,40117000000.0,sz399303
2012-02-21,3053.72,3097.42,3097.42,3020.04,34817800,40262000000.0,sz399303
2012-02-22,3094.66,3164.73,3164.73,3094.66,46543400,54715000000.0,sz399303
2012-02-23,3158.78,3172.24,3182.04,3138.35,43007900,51362000000.0,sz399303
2012-02-24,3168.72,3206.74,3206.74,3160.75,45128800,50819000000.0,sz399303
2012-02-27,3218.67,3207.61,3252.95,3207.61,52219700,59100000000.0,sz399303
2012-02-28,3188.09,3177.35,3199.86,3137.88,41598400,48727000000.0,sz399303
2012-02-29,3160.75,3134.59,3179.14,3131.91,33396000,39608000000.0,sz399303
2012-03-01,3122.67,3157.24,3175.02,3122.67,28612900,33500000000.0,sz399303
2012-03-02,3167.21,3218.78,3218.78,3167.21,35444800,41067000000.0,sz399303
2012-03-05,3226.99,3231.32,3244.27,3226.99,39718600,48355000000.0,sz399303
2012-03-06,3218.6,3207.87,3224.18,3177.94,38087300,44903000000.0,sz399303
2012-03-07,3166.8,3198.14,3234.54,3166.8,36899300,43069000000.0,sz399303
